"spo","pval_vib","gene","funct","NCBI","padj_vib","sig_vib","Vib_fold_diff","Mari_fold_diff","CC_fold_diff","pval_mari","padj_mari","sig_mari","pval_cc","padj_cc","sig_cc","meanW_rpomAlone","semW_rpomAlone","meanW_vib","semW_vib","meanW_mari","semW_mari","meanW_CC","semW_CC"
"SPO0422",NA,"leuA","2-isopropylmalate synthase","SPO_RS02135",NA,NA,0.6,0.6,0.57,0,0,"yes",NA,NA,NA,0.38,0.05,0.58,0.02,0.58,0.05,0.57,0.05
"SPO0554",NA,"SPO0554","glycosyl transferase, group 1 family protein","SPO_RS02795",NA,NA,-0.16,-0.15,-0.079,0,0,"yes",NA,NA,NA,1.12,0.04,1,0.02,1.01,0.01,1.06,0.02
"SPO0673",NA,"tpa","taurine--pyruvate aminotransferase","SPO_RS03400",NA,NA,-0.19,-0.2,-0.11,0,0,"yes",NA,NA,NA,0.98,0.03,0.86,0.05,0.85,0.03,0.91,0.01
"SPO0715",NA,"SPO0715","phosphocarrier protein HPr","SPO_RS03610",NA,NA,1.3,1.2,1,0,0,"yes",NA,NA,NA,0.34,0.14,0.83,0.14,0.77,0.06,0.69,0.23
"SPO0891",NA,"SPO0891","alkylphosphonate utilization protein PhnM, putative","SPO_RS04490",NA,NA,-0.068,-0.11,-0.054,0,0,"yes",NA,NA,NA,1.07,0.04,1.02,0.04,0.99,0.01,1.03,0.04
"SPO0934",NA,"SPO0934","hypothetical protein","SPO_RS04695",NA,NA,-0.11,-0.14,-0.12,0,0,"yes",NA,NA,NA,1.08,0.03,1,0.05,0.98,0.02,0.99,0.03
"SPO0955",NA,"SPO0955","amidohydrolase domain protein","SPO_RS04795",NA,NA,-0.041,-0.11,-0.069,0,0,"yes",NA,NA,NA,1.06,0.01,1.03,0.02,0.98,0.02,1.01,0.02
"SPO1007",NA,"SPO1007","hypothetical protein","SPO_RS05070",NA,NA,-0.089,-0.14,-0.089,0,0,"yes",NA,NA,NA,1.16,0.03,1.09,0.02,1.05,0.02,1.09,0.02
"SPO1155",NA,"hisE","Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)","SPO_RS05855",NA,NA,2.6,-2.6,1.5,0,0,"yes",NA,NA,NA,0.05,0.05,0.35,0.22,0,0,0.16,0.16
"SPO1171",NA,"pyc","pyruvate carboxylase","SPO_RS05935",NA,NA,-0.098,-0.13,-0.098,0,0,"yes",NA,NA,NA,1.06,0.02,0.99,0.02,0.97,0.01,0.99,0.01
"SPO1172",NA,"SPO1172","FMN-dependent alpha-hydroxy acid dehydrogenase family protein","SPO_RS05940",NA,NA,-0.1,-0.22,-0.18,0,0,"yes",NA,NA,NA,1.18,0.05,1.1,0.05,1.01,0.03,1.04,0.03
"SPO1189",NA,"SPO1189","hypothetical protein","SPO_RS06025",NA,NA,0.055,0.15,0.23,0,0,"yes",0,0,"yes",1.02,0.02,1.06,0.06,1.13,0.08,1.2,0.05
"SPO1213",NA,"SPO1213","oligopeptide ABC transporter, ATP-binding protein","SPO_RS06155",NA,NA,0.014,-0.12,0,0,0,"yes",NA,NA,NA,0.98,0.02,0.99,0.01,0.9,0.01,0.98,0.05
"SPO1318",NA,"purA","adenylosuccinate synthetase","SPO_RS06720",NA,NA,3.3,3.6,5.2,0,0,"yes",0,0,"yes",0,0,0.09,0.09,0.11,0.11,0.35,0.12
"SPO1496",NA,"SPO1496","ABC transporter, permease protein","SPO_RS07620",NA,NA,0.45,0.38,0.47,0,0,"yes",NA,NA,NA,0.75,0.07,1.03,0.02,0.98,0.03,1.04,0.03
"SPO1586",NA,"mgdC","N-methylglutamate dehydrogenase subunit C","SPO_RS08070",NA,NA,-0.2,-0.18,-0.096,0,0,"yes",NA,NA,NA,1.08,0.03,0.94,0.07,0.95,0.05,1.01,0.06
"SPO1668",NA,"SPO1668","membrane-associated zinc metalloprotease, putative","SPO_RS08475",NA,NA,-0.11,-0.17,-0.17,0,0,"yes",NA,NA,NA,1.05,0.05,0.97,0.05,0.93,0,0.93,0.08
"SPO1734",NA,"hom","homoserine dehydrogenase","SPO_RS08825",NA,NA,0,5,4.6,0,0,"yes",NA,NA,NA,0,0,0,0,0.31,0.19,0.23,0.23
"SPO1744",NA,"SPO1744","sarcosine oxidase, beta subunit family","SPO_RS08875",NA,NA,0.09,0.15,0.16,0,0,"yes",NA,NA,NA,0.92,0.01,0.98,0.05,1.02,0.01,1.03,0.04
"SPO1816",NA,"SPO1816","TRAP dicarboxylate transporter, DctM subunit, putative","SPO_RS09240",NA,NA,-0.17,-0.17,-0.18,0,0,"yes",0,0,"yes",1.09,0.01,0.97,0.03,0.97,0.01,0.96,0.02
"SPO1928",NA,"SPO1928","Tat (twin-arginine translocation) pathway signal sequence domain protein","SPO_RS09790",NA,NA,-0.065,-0.13,-0.091,0,0,"yes",NA,NA,NA,1.13,0.02,1.08,0.02,1.03,0.01,1.06,0.02
"SPO2069",NA,"SPO2069","benzoate-coenzyme A ligase, putative","SPO_RS10495",NA,NA,-0.16,-0.16,-0.079,0,0,"yes",NA,NA,NA,1.12,0.03,1,0.03,1,0.02,1.06,0.04
"SPO2087",NA,"ntrC","nitrogen regulation protein NtrC","SPO_RS10585",NA,NA,2.2,2.9,1.4,0,0,"yes",NA,NA,NA,0.06,0.06,0.31,0.14,0.5,0.06,0.18,0.13
"SPO2161",NA,"SPO2161","hypothetical protein","SPO_RS10955",NA,NA,-0.097,-0.11,-0.054,0,0,"yes",NA,NA,NA,1.07,0.03,1,0.01,0.99,0.02,1.03,0.02
"SPO2203",NA,"mmsA","methylmalonate-semialdehyde dehydrogenase","SPO_RS11170",NA,NA,-0.095,-0.12,-0.095,0,0,"yes",NA,NA,NA,1.09,0.02,1.02,0.02,1,0.01,1.02,0.02
"SPO2326",NA,"SPO2326","hypothetical protein","SPO_RS11790",NA,NA,0.027,-0.18,-0.14,0,0,"yes",NA,NA,NA,1.04,0.07,1.06,0.07,0.92,0.02,0.94,0.1
"SPO2341",NA,"SPO2341","methyltransferase, FkbM family","SPO_RS11865",NA,NA,-0.23,-0.14,-0.041,0,0,"yes",NA,NA,NA,1.06,0.02,0.9,0.05,0.96,0.01,1.03,0.04
"SPO2361",NA,"SPO2361","sensor histidine kinase/response regulator","SPO_RS11980",NA,NA,-0.15,-0.18,0,0,0,"yes",NA,NA,NA,1,0.03,0.9,0.03,0.88,0.02,1,0.03
"SPO2413",NA,"SPO2413","oxidoreductase, short chain dehydrogenase/reductase family","SPO_RS12260",NA,NA,-0.36,0.17,0.059,0,0,"yes",NA,NA,NA,0.95,0.07,0.74,0.26,1.07,0.05,0.99,0.09
"SPO2635",NA,"cysH","phosophoadenylyl-sulfate reductase","SPO_RS13365",NA,NA,6.3,4.2,5.7,0,0,"yes",NA,NA,NA,0,0,0.79,0.09,0.17,0.17,0.52,0.18
"SPO2647",NA,"SPO2647","hypothetical protein","SPO_RS13425",NA,NA,-0.11,-0.15,-0.14,0,0,"yes",NA,NA,NA,1.08,0.05,1,0.05,0.97,0.03,0.98,0.04
"SPO2713",NA,"secA2","Protein translocase subunit SecA 2","SPO_RS13760",NA,NA,-0.11,-0.42,-0.25,0,0,"yes",NA,NA,NA,0.98,0.07,0.91,0.1,0.73,0.04,0.82,0.12
"SPO2753",NA,"SPO2753","diguanylate cyclase, putative/response regulator","SPO_RS13985",NA,NA,0.25,0.35,0.35,0,0,"yes",NA,NA,NA,0.73,0.06,0.87,0.05,0.93,0.02,0.93,0.04
"SPO2812",NA,"argE-1","acetylornithine deacetylase","SPO_RS14285",NA,NA,-0.09,-0.13,-0.16,0,0,"yes",0,0,"yes",1.15,0.04,1.08,0.06,1.05,0.03,1.03,0.03
"SPO2858",NA,"SPO2858","hypothetical protein","SPO_RS14510",NA,NA,0.23,0.27,0.27,0,0,"yes",0,0,"yes",0.81,0.07,0.95,0.04,0.98,0.02,0.98,0.03
"SPO2897",NA,"phaF","pH adaptation potassium efflux system protein PhaF","SPO_RS14700",NA,NA,2.8,3.7,4.6,0,0,"yes",0,0,"yes",0,0,0.06,0.06,0.12,0.12,0.23,0.23
"SPO3050",NA,"SPO3050","hypothetical protein","",NA,NA,0.5,0.49,0.47,0,0,"yes",0,0,"yes",0.64,0.1,0.91,0.1,0.9,0.06,0.89,0.05
"SPO3076",NA,"ctaC","cytochrome c oxidase, subunit II","SPO_RS15585",NA,NA,0.43,0.47,0.49,0,0,"yes",0,0,"yes",0.59,0.03,0.8,0.02,0.82,0.04,0.83,0.02
"SPO3091",NA,"SPO3091","type II secretion system protein F (GspF)","SPO_RS15665",NA,NA,-0.07,-0.11,-0.13,0,0,"yes",0,0,"yes",1.05,0.04,1,0.01,0.97,0.02,0.96,0.03
"SPO3256",NA,"rpmE","ribosomal protein L31","SPO_RS16490",NA,NA,3.9,3.9,4.7,0,0,"yes",NA,NA,NA,0,0,0.14,0.12,0.14,0.08,0.25,0.09
"SPO3296",NA,"SPO3296","AMP-binding enzyme","SPO_RS16690",NA,NA,0.11,0.11,0.13,0,0,"yes",NA,NA,NA,0.87,0.01,0.94,0.02,0.94,0.01,0.95,0.03
"SPO3329",NA,"SPO3329","globin domain protein","SPO_RS16865",NA,NA,0.072,0.11,-0.03,0,0,"yes",NA,NA,NA,0.97,0.03,1.02,0.07,1.05,0.04,0.95,0.01
"SPO3385",NA,"SPO3385","glycosyl transferase, family 25","SPO_RS17145",NA,NA,-0.04,-0.11,-0.026,0,0,"yes",NA,NA,NA,1.09,0.01,1.06,0.01,1.01,0.03,1.07,0.01
"SPO3498",NA,"tuf-2","translation elongation factor Tu","SPO_RS17715",NA,NA,-0.015,-0.12,0.044,0,0,"yes",NA,NA,NA,0.97,0.01,0.96,0.02,0.89,0.01,1,0.01
"SPO3805",NA,"dmdD","Methylthioacryloyl-CoA hydratase","SPO_RS19305",NA,NA,-0.053,-0.11,-0.026,0,0,"yes",NA,NA,NA,1.1,0.02,1.06,0.03,1.02,0.02,1.08,0.01
"SPO3810",NA,"gpmI","2,3-bisphosphoglycerate-independent phosphoglycerate mutase","SPO_RS19335",NA,NA,2.8,2.6,2.8,0,0,"yes",NA,NA,NA,0.04,0.04,0.35,0.03,0.3,0.03,0.33,0.11
"SPOA0007",NA,"SPOA0007","hypothetical protein","SPO_RS19815",NA,NA,1.1,1.1,0.72,0,0,"yes",NA,NA,NA,0.45,0.22,1.01,0.15,0.95,0.12,0.75,0.3
"SPOA0449",NA,"SPOA0449","phytanoyl-CoA dioxygenase","SPO_RS19780",NA,NA,-0.051,0.14,-0.051,0,0,"yes",NA,NA,NA,0.85,0.03,0.82,0.06,0.94,0.01,0.82,0.02
"SPO_Sp16SA",NA,"16S rRNA","","",NA,NA,0.1,0.11,0.11,NA,NA,NA,0,0,"yes",0.97,0,1.04,0,1.05,0.01,1.05,0
"SPO_Sp16SB",NA,"16S rRNA","","",NA,NA,0.11,0.13,0.13,NA,NA,NA,0,0,"yes",0.96,0.01,1.04,0,1.05,0.01,1.05,0
"SPO_Sp16SC",NA,"16S rRNA","","",NA,NA,0.11,0.13,0.14,NA,NA,NA,0,0,"yes",0.96,0.01,1.04,0,1.05,0.01,1.06,0
"SPO0210",NA,"leuB","3-isopropylmalate dehydrogenase","SPO_RS01070",NA,NA,1.7,0.26,2.4,NA,NA,NA,0,0,"yes",0.04,0.04,0.15,0.09,0.05,0.03,0.26,0.05
"SPO0282",NA,"SPO0282","hypothetical protein","SPO_RS01430",NA,NA,-0.22,-0.13,-0.19,NA,NA,NA,0,0,"yes",1.07,0.06,0.92,0.05,0.98,0.06,0.94,0.04
"SPO0284",NA,"SPO0284","dihydroorotase, multifunctional complex type","SPO_RS01440",NA,NA,1.5,1.2,2.2,NA,NA,NA,0,0,"yes",0.14,0.08,0.41,0.12,0.34,0.09,0.66,0.09
"SPO0397",NA,"glnD","protein-P-II uridylyltransferase","SPO_RS02010",NA,NA,-2.1,-0.58,-6.5,NA,NA,NA,0,0,"yes",0.89,0.04,0.2,0.2,0.59,0.06,0,0
"SPO0464",NA,"SPO0464","hypothetical protein","SPO_RS02340",NA,NA,0.1,0.11,0.13,NA,NA,NA,0,0,"yes",0.97,0.03,1.04,0.06,1.05,0.04,1.06,0.04
"SPO0503",NA,"rpmD","ribosomal protein L30","SPO_RS02540",NA,NA,0.36,0.25,0.34,NA,NA,NA,0,0,"yes",0.62,0.02,0.8,0.04,0.74,0.03,0.79,0.04
"SPO0521",NA,"SPO0521","glutamate/glutamine/aspartate/asparagine ABC transporter, permease protein","SPO_RS02630",NA,NA,0.19,0.12,0.22,NA,NA,NA,0,0,"yes",0.91,0.03,1.04,0.02,0.99,0.01,1.06,0.02
"SPO0529",NA,"SPO0529","hypothetical protein","SPO_RS02670",NA,NA,-0.037,-0.24,-0.15,NA,NA,NA,0,0,"yes",1.17,0.08,1.14,0.03,0.99,0.05,1.05,0.06
"SPO0800",NA,"SPO0800","choline sulfatase","SPO_RS04035",NA,NA,0.14,0.22,0.27,NA,NA,NA,0,0,"yes",0.78,0.05,0.86,0.05,0.91,0.02,0.94,0.01
"SPO0875",NA,"gap-2","glyceraldehyde-3-phosphate dehydrogenase, type I","SPO_RS04410",NA,NA,0.25,0.087,0.39,NA,NA,NA,0,0,"yes",0.63,0.04,0.75,0.03,0.67,0.03,0.83,0.02
"SPO0935",NA,"SPO0935","nitroreductase family protein","SPO_RS04700",NA,NA,-0.11,-0.08,-0.17,NA,NA,NA,0,0,"yes",1.1,0.04,1.02,0.03,1.04,0.02,0.98,0.03
"SPO0976",NA,"SPO0976","hypothetical protein","SPO_RS04905",NA,NA,-0.29,-0.19,-0.32,NA,NA,NA,0,0,"yes",1.15,0.07,0.94,0.11,1.01,0.04,0.92,0.05
"SPO1347",NA,"SPO1347","hypothetical protein","SPO_RS06865",NA,NA,0.014,-0.043,0.11,NA,NA,NA,0,0,"yes",1.01,0.04,1.02,0.04,0.98,0.03,1.09,0.02
"SPO1677",NA,"trmU","tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase","SPO_RS08515",NA,NA,-0.51,0.32,-5.5,NA,NA,NA,0,0,"yes",0.43,0.25,0.3,0.19,0.54,0.18,0,0
"SPO1727",NA,"SPO1727","polyphosphate kinase 2, putative","SPO_RS08790",NA,NA,-0.066,-0.12,-2.2,NA,NA,NA,0,0,"yes",1.11,0.05,1.06,0.08,1.02,0.03,0.24,0.24
"SPO1757",NA,"kpsS","capsular polysaccharide export protein KpsS","SPO_RS08940",NA,NA,-0.082,-0.14,-0.18,NA,NA,NA,0,0,"yes",1.08,0.04,1.02,0.03,0.98,0.04,0.95,0.02
"SPO1769",NA,"SPO1769","hypothetical protein","SPO_RS09000",NA,NA,0.2,-0.062,0.22,NA,NA,NA,0,0,"yes",0.94,0.09,1.08,0.1,0.9,0.02,1.1,0.01
"SPO1870",NA,"purL","phosphoribosylformylglycinamidine synthase II","SPO_RS09505",NA,NA,2.8,2.2,3.1,NA,NA,NA,0,0,"yes",0.05,0.04,0.41,0.07,0.26,0.09,0.5,0.05
"SPO1875",NA,"murI","glutamate racemase","SPO_RS09530",NA,NA,0.28,0.22,0.35,NA,NA,NA,0,0,"yes",0.82,0.05,1,0.04,0.96,0.02,1.05,0.04
"SPO1884",NA,"SPO1884","S-methyltransferase component of split metH","SPO_RS09575",NA,NA,0,2.3,3.9,NA,NA,NA,0,0,"yes",0,0,0,0,0.04,0.02,0.14,0.11
"SPO1893",NA,"SPO1893","ribonuclease, Rne/Rng family","SPO_RS09620",NA,NA,-0.1,-0.13,-0.12,NA,NA,NA,0,0,"yes",1.13,0.05,1.05,0.05,1.03,0.07,1.04,0.06
"SPO2049",NA,"SPO2049","radical SAM domain protein","SPO_RS10395",NA,NA,-0.15,-0.087,-0.15,NA,NA,NA,0,0,"yes",1.02,0.01,0.92,0.04,0.96,0.01,0.92,0.01
"SPO2136",NA,"nrdJ","ribonucleoside-diphosphate reductase, adenosylcobalamin-dependent","SPO_RS10830",NA,NA,0.13,0.1,0.13,NA,NA,NA,0,0,"yes",0.95,0.02,1.04,0.02,1.02,0.01,1.04,0.01
"SPO2242",NA,"pdhC","pyruvate dehydrogenase complex, E2 component, dihydrolipoamide acetyltransferase","SPO_RS11365",NA,NA,1.5,1.3,1.8,NA,NA,NA,0,0,"yes",0.18,0.08,0.51,0.1,0.45,0.09,0.63,0.07
"SPO2272",NA,"hisA2","1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase 2 (EC 5.3.1.16)","SPO_RS11520",NA,NA,0.057,0.043,-0.12,NA,NA,NA,0,0,"yes",0.98,0.03,1.02,0.02,1.01,0.05,0.9,0.01
"SPO2287",NA,"SPO2287","autoinducer synthesis protein","SPO_RS11595",NA,NA,0.083,0.097,0.12,NA,NA,NA,0,0,"yes",1,0.02,1.06,0.02,1.07,0.01,1.09,0.01
"SPO2337",NA,"SPO2337","decarboxylase family protein","SPO_RS11845",NA,NA,-0.25,-0.18,-0.17,NA,NA,NA,0,0,"yes",1.19,0.05,1,0.1,1.05,0.05,1.06,0.02
"SPO2474",NA,"eno","enolase","SPO_RS12565",NA,NA,1.2,1.2,1.3,NA,NA,NA,0,0,"yes",0.2,0.1,0.48,0.07,0.48,0.07,0.49,0.03
"SPO2483",NA,"anmK","Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170)","SPO_RS12610",NA,NA,0.093,-0.061,-0.21,NA,NA,NA,0,0,"yes",1.19,0.07,1.27,0.08,1.14,0.13,1.03,0.07
"SPO2633",NA,"SPO2633","hypothetical protein","SPO_RS13355",NA,NA,4.5,0,6.2,NA,NA,NA,0,0,"yes",0,0,0.22,0.22,0,0,0.72,0.24
"SPO2820",NA,"pntA","NAD(P) transhydrogenase, alpha subunit","SPO_RS14325",NA,NA,0.27,0.27,0.36,NA,NA,NA,0,0,"yes",0.83,0.07,1,0.05,1,0.01,1.07,0.03
"SPO2906",NA,"SPO2906","hypothetical protein","SPO_RS14745",NA,NA,0.46,0.37,0.61,NA,NA,NA,0,0,"yes",0.6,0.05,0.83,0.04,0.78,0.06,0.92,0.03
"SPO2923",NA,"SPO2923","hypothetical protein","SPO_RS14825",NA,NA,-0.013,-0.2,-0.11,NA,NA,NA,0,0,"yes",1.08,0.05,1.07,0.05,0.94,0.09,1,0.03
"SPO2958",NA,"SPO2958","inositol monophosphatase family protein","SPO_RS15000",NA,NA,0.4,0.45,0.89,NA,NA,NA,0,0,"yes",0.4,0.08,0.53,0.1,0.55,0.08,0.75,0.03
"SPO2988",NA,"SPO2988","hypothetical protein","SPO_RS15145",NA,NA,-0.079,-0.093,-0.18,NA,NA,NA,0,0,"yes",1.11,0.03,1.05,0.03,1.04,0.03,0.98,0.03
"SPO3100",NA,"SPO3100","hypothetical protein","SPO_RS15710",NA,NA,0,-0.014,0.11,NA,NA,NA,0,0,"yes",1,0.01,1,0.02,0.99,0.01,1.08,0.02
"SPO3169",NA,"clpA","ATP-dependent Clp protease, ATP-binding subunit ClpA","SPO_RS16055",NA,NA,0.17,0.059,0.42,NA,NA,NA,0,0,"yes",0.47,0.02,0.53,0.05,0.49,0.04,0.63,0.03
"SPO3217",NA,"def-1","peptide deformylase","SPO_RS16295",NA,NA,0.19,0.14,0.3,NA,NA,NA,0,0,"yes",0.78,0.04,0.89,0.04,0.86,0.02,0.96,0.03
"SPO3224",NA,"cobC","cobalamin biosynthetic protein CobC","SPO_RS16330",NA,NA,5.9,5.8,6.2,NA,NA,NA,0,0,"yes",0,0,0.6,0.32,0.53,0.31,0.71,0.14
"SPO3230",NA,"SPO3230","aminotransferase, classes I and II","SPO_RS16360",NA,NA,-0.08,-0.094,-0.11,NA,NA,NA,0,0,"yes",1.1,0.01,1.04,0.01,1.03,0.02,1.02,0.02
"SPO3360",NA,"kbl","2-amino-3-ketobutyrate coenzyme A ligase","SPO_RS17020",NA,NA,-0.11,-0.082,-0.12,NA,NA,NA,0,0,"yes",1.08,0.02,1,0.03,1.02,0.02,0.99,0.01
"SPO3420",NA,"SPO3420","hypothetical protein","SPO_RS17315",NA,NA,0.044,-0.03,0.15,NA,NA,NA,0,0,"yes",0.97,0.03,1,0.03,0.95,0.02,1.08,0.02
"SPO3609",NA,"linC-2","2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase","SPO_RS18290",NA,NA,-0.028,-0.028,0.18,NA,NA,NA,0,0,"yes",1.02,0.04,1,0.14,1,0.04,1.16,0.05
"SPO3634",NA,"moaD","molybdopterin converting factor, subunit 1","SPO_RS18410",NA,NA,0.25,0.2,0.3,NA,NA,NA,0,0,"yes",0.67,0.04,0.8,0.11,0.77,0.07,0.83,0.02
"SPO3806",NA,"smpB","SsrA-binding protein","SPO_RS19310",NA,NA,0.29,0.21,0.37,NA,NA,NA,0,0,"yes",0.7,0.03,0.86,0.05,0.81,0.03,0.91,0.03
"SPO3901",NA,"SPO3901","carbon monoxide dehydrogenase G protein, putative","SPO_RS18460",NA,NA,-0.13,-0.068,-0.31,NA,NA,NA,0,0,"yes",1.07,0.02,0.98,0.06,1.02,0.03,0.86,0.06
"SPOA0111",NA,"SPOA0111","indolepyruvate oxidoreductase, IorA subunit","SPO_RS20385",NA,NA,-0.12,-0.095,-0.12,NA,NA,NA,0,0,"yes",1.09,0.02,1,0.01,1.02,0.02,1,0.02
"SPOA0112",NA,"feaB","phenylacetaldehyde dehydrogenase","SPO_RS20390",NA,NA,0.12,0.046,0.12,NA,NA,NA,0,0,"yes",0.92,0.02,1,0.02,0.95,0.02,1,0.01
"SPOA0212",NA,"SPOA0212","nitric oxide reductase F protein","SPO_RS20895",NA,NA,-0.74,0.2,0.31,NA,NA,NA,0,0,"yes",0.86,0.02,0.51,0.27,0.99,0.11,1.07,0.06
"SPOA0249",NA,"SPOA0249","TRAP dicarboxylate transporter, DctP subunit","SPO_RS21080",NA,NA,0.096,0.16,0.13,NA,NA,NA,0,0,"yes",0.86,0.02,0.92,0.02,0.96,0.03,0.94,0.03
"SPOA0252",NA,"SPOA0252","LacI family transcription regulator","SPO_RS21095",NA,NA,-0.052,0.098,-0.18,NA,NA,NA,0,0,"yes",0.84,0.01,0.81,0.04,0.9,0.04,0.74,0.02
"SPOA0321",NA,"SPOA0321","glyoxalase family protein","SPO_RS21445",NA,NA,-0.096,-0.11,-0.18,NA,NA,NA,0,0,"yes",1.08,0.04,1.01,0.03,1,0.05,0.95,0.02
"SPOA0326",NA,"SPOA0326","LysR family transcriptional regulator","SPO_RS21470",NA,NA,-0.041,-0.15,-0.11,NA,NA,NA,0,0,"yes",1.07,0.04,1.04,0.04,0.96,0.04,0.99,0.02
"SPOA0385",NA,"SPOA0385","hypothetical protein","SPO_RS21785",NA,NA,-0.31,-0.1,0.13,NA,NA,NA,0,0,"yes",1.01,0.06,0.81,0.15,0.94,0.06,1.11,0.03
"SPOA0422",NA,"SPOA0422","hypothetical protein","SPO_RS21965",NA,NA,0.33,0.23,0.42,NA,NA,NA,0,0,"yes",0.73,0.05,0.92,0.11,0.86,0.03,0.98,0.05
