Time,E8,F8,G8,H8,E2,F2,G2,H2,E4,F4,G4,H4,E6,F6,G6,H6
0,0.085,0.084,0.085,0.085,0.095,0.094,0.1,0.097,0.089,0.087,0.091,0.093,0.086,0.085,0.085,0.086
1,0.084,0.085,0.085,0.084,0.096,0.096,0.102,0.099,0.09,0.088,0.091,0.092,0.086,0.085,0.086,0.086
2,0.084,0.085,0.085,0.084,0.099,0.098,0.104,0.101,0.089,0.088,0.09,0.091,0.086,0.085,0.086,0.086
3,0.084,0.085,0.085,0.084,0.101,0.101,0.107,0.104,0.089,0.088,0.09,0.092,0.086,0.086,0.086,0.087
4,0.084,0.085,0.085,0.085,0.104,0.103,0.11,0.107,0.089,0.088,0.09,0.092,0.086,0.086,0.086,0.088
5,0.085,0.085,0.085,0.085,0.106,0.105,0.112,0.109,0.089,0.088,0.09,0.092,0.086,0.086,0.086,0.089
6,0.084,0.085,0.085,0.084,0.107,0.107,0.114,0.111,0.089,0.089,0.09,0.092,0.086,0.086,0.086,0.089
7,0.084,0.085,0.085,0.084,0.11,0.11,0.117,0.113,0.089,0.089,0.09,0.092,0.086,0.086,0.086,0.089
8,0.084,0.085,0.085,0.085,0.113,0.113,0.121,0.117,0.089,0.089,0.09,0.092,0.086,0.086,0.087,0.09
9,0.084,0.085,0.085,0.085,0.117,0.118,0.127,0.122,0.09,0.089,0.09,0.092,0.086,0.086,0.087,0.09
10,0.084,0.085,0.085,0.084,0.124,0.123,0.134,0.129,0.09,0.089,0.091,0.092,0.087,0.086,0.087,0.09
11,0.084,0.085,0.085,0.084,0.141,0.131,0.151,0.143,0.09,0.089,0.091,0.092,0.087,0.086,0.087,0.091
12,0.084,0.085,0.085,0.085,0.148,0.138,0.169,0.167,0.09,0.089,0.091,0.092,0.087,0.086,0.087,0.091
13,0.084,0.085,0.085,0.085,0.161,0.151,0.181,0.173,0.09,0.089,0.091,0.091,0.087,0.087,0.088,0.091
14,0.084,0.085,0.085,0.085,0.171,0.155,0.191,0.199,0.09,0.089,0.091,0.091,0.087,0.087,0.088,0.091
15,0.084,0.085,0.085,0.085,0.179,0.165,0.206,0.214,0.09,0.089,0.091,0.092,0.087,0.087,0.087,0.091
16,0.084,0.085,0.085,0.085,0.188,0.176,0.217,0.231,0.09,0.089,0.092,0.092,0.087,0.087,0.087,0.09
17,0.084,0.085,0.085,0.085,0.198,0.187,0.23,0.247,0.09,0.089,0.091,0.092,0.087,0.086,0.087,0.09
18,0.084,0.085,0.085,0.085,0.209,0.198,0.243,0.264,0.09,0.089,0.092,0.092,0.087,0.086,0.087,0.088
19,0.084,0.085,0.085,0.085,0.22,0.212,0.258,0.281,0.09,0.089,0.092,0.092,0.087,0.086,0.087,0.088
20,0.084,0.085,0.085,0.085,0.229,0.227,0.271,0.279,0.09,0.09,0.092,0.092,0.087,0.086,0.087,0.088
21,0.084,0.085,0.085,0.085,0.235,0.241,0.279,0.299,0.09,0.09,0.092,0.092,0.087,0.086,0.087,0.088
22,0.084,0.085,0.085,0.085,0.228,0.247,0.274,0.285,0.09,0.09,0.092,0.092,0.087,0.086,0.087,0.088
23,0.084,0.085,0.085,0.085,0.228,0.247,0.274,0.285,0.091,0.09,0.092,0.093,0.087,0.087,0.087,0.089
24,0.084,0.085,0.085,0.085,0.226,0.246,0.271,0.28,0.091,0.09,0.092,0.093,0.087,0.087,0.087,0.088
25,0.084,0.085,0.085,0.085,0.223,0.243,0.266,0.278,0.091,0.09,0.092,0.093,0.088,0.087,0.087,0.088
26,0.084,0.085,0.085,0.085,0.22,0.241,0.263,0.276,0.091,0.09,0.092,0.093,0.088,0.087,0.087,0.088
27,0.084,0.085,0.085,0.085,0.218,0.238,0.26,0.277,0.091,0.09,0.092,0.093,0.088,0.087,0.088,0.088
28,0.084,0.085,0.085,0.085,0.216,0.237,0.258,0.27,0.091,0.09,0.092,0.093,0.088,0.087,0.088,0.089
29,0.084,0.085,0.085,0.085,0.214,0.235,0.256,0.277,0.091,0.09,0.092,0.093,0.088,0.087,0.088,0.089
30,0.084,0.085,0.085,0.085,0.213,0.234,0.255,0.267,0.091,0.09,0.092,0.093,0.088,0.087,0.088,0.089
31,0.084,0.085,0.085,0.085,0.212,0.234,0.254,0.266,0.091,0.091,0.093,0.094,0.088,0.087,0.088,0.089
32,0.084,0.085,0.085,0.085,0.211,0.233,0.253,0.269,0.091,0.091,0.093,0.094,0.089,0.087,0.088,0.089
33,0.084,0.085,0.085,0.085,0.211,0.232,0.252,0.263,0.092,0.091,0.093,0.094,0.089,0.087,0.088,0.089
34,0.084,0.085,0.085,0.085,0.21,0.232,0.251,0.271,0.092,0.091,0.093,0.094,0.089,0.088,0.088,0.089
35,0.084,0.085,0.085,0.085,0.21,0.231,0.25,0.265,0.092,0.091,0.093,0.094,0.089,0.088,0.088,0.089
36,0.084,0.085,0.085,0.085,0.209,0.231,0.25,0.263,0.092,0.091,0.093,0.095,0.089,0.088,0.088,0.089
37,0.084,0.085,0.085,0.085,0.209,0.23,0.249,0.261,0.092,0.092,0.093,0.095,0.089,0.088,0.088,0.089
38,0.084,0.085,0.085,0.085,0.209,0.23,0.249,0.268,0.092,0.092,0.094,0.095,0.089,0.088,0.088,0.089
39,0.084,0.085,0.085,0.085,0.208,0.23,0.248,0.266,0.093,0.092,0.094,0.095,0.089,0.088,0.088,0.09
40,0.084,0.085,0.085,0.085,0.208,0.23,0.248,0.261,0.092,0.092,0.094,0.096,0.089,0.088,0.088,0.089
41,0.084,0.085,0.085,0.085,0.208,0.229,0.248,0.266,0.093,0.092,0.094,0.096,0.089,0.088,0.088,0.09
42,0.084,0.085,0.085,0.085,0.207,0.229,0.247,0.266,0.093,0.092,0.095,0.096,0.089,0.088,0.089,0.09
43,0.084,0.085,0.085,0.085,0.207,0.229,0.247,0.265,0.093,0.093,0.095,0.096,0.089,0.088,0.088,0.089
44,0.084,0.085,0.085,0.085,0.207,0.229,0.247,0.265,0.093,0.093,0.095,0.097,0.089,0.088,0.089,0.09
45,0.084,0.085,0.085,0.085,0.207,0.229,0.246,0.264,0.094,0.093,0.095,0.097,0.09,0.088,0.089,0.09
46,0.084,0.085,0.085,0.085,0.206,0.228,0.246,0.264,0.094,0.093,0.095,0.098,0.09,0.088,0.089,0.09
47,0.084,0.085,0.085,0.085,0.206,0.228,0.245,0.263,0.094,0.094,0.095,0.098,0.09,0.088,0.089,0.09
48,0.084,0.085,0.085,0.085,0.206,0.228,0.245,0.262,0.094,0.094,0.096,0.099,0.089,0.088,0.089,0.091
