"spo","meanW","semW"
"SPO_Sp16SA",0.97,0
"SPO_Sp16SB",0.96,0.01
"SPO_Sp16SC",0.96,0.01
"SPO_Sp23SA",0.96,0
"SPO_Sp23SB",0.96,0
"SPO_Sp5SD",1,0.01
"SPO_Sp5SE",0.98,0.01
"SPO_Sp5SF",0.96,0.01
"SPO0001",0.82,0.04
"SPO0002",1.02,0.02
"SPO0003",0.81,0.11
"SPO0005",1.06,0.01
"SPO0006",1.03,0.01
"SPO0007",1.04,0.02
"SPO0008",0.98,0.01
"SPO0009",0.96,0.02
"SPO0010",0.36,0.21
"SPO0011",0.99,0
"SPO0012",1.02,0.02
"SPO0013",1,0.02
"SPO0014",0.98,0.01
"SPO0015",1.05,0.03
"SPO0016",0.98,0.02
"SPO0017",1.02,0.01
"SPO0018",0,0
"SPO0019",0.97,0.01
"SPO0020",1.02,0.01
"SPO0021",0.92,0.01
"SPO0022",1,0.01
"SPO0023",1.03,0.01
"SPO0024",0.91,0.02
"SPO0025",1.02,0.02
"SPO0027",0.98,0.01
"SPO0028",0.99,0.01
"SPO0029",1.05,0.02
"SPO0030",1.02,0.01
"SPO0031",1.04,0.01
"SPO0033",1.04,0.02
"SPO0034",1,0.02
"SPO0035",1,0.01
"SPO0036",0.98,0.01
"SPO0037",0.99,0.01
"SPO0040",1.01,0.01
"SPO0041",1.04,0.01
"SPO0042",1.02,0.02
"SPO0044",0.93,0.07
"SPO0045",0.99,0.02
"SPO0046",0.92,0.01
"SPO0046a",0.98,0.05
"SPO0047",0.94,0.04
"SPO0048",1,0.03
"SPO0049",1,0.01
"SPO0050",0.96,0.02
"SPO0051",1,0.02
"SPO0052",1.01,0.03
"SPO0053",1,0.04
"SPO0054",0.97,0.02
"SPO0055",1.05,0.01
"SPO0056",1.04,0.01
"SPO0057",0.88,0.32
"SPO0058",1.02,0.01
"SPO0059",0.97,0.01
"SPO0060",1.06,0.01
"SPO0062",0.44,0.26
"SPO0063",0.14,0.14
"SPO0066",0.97,0.01
"SPO0067",0.88,0.02
"SPO0068",1.01,0.02
"SPO0069",1.02,0.01
"SPO0070",1,0.02
"SPO0071",1.06,0.02
"SPO0072",0.9,0.06
"SPO0075",1.06,0.01
"SPO0077",0.96,0.02
"SPO0078",1.07,0
"SPO0084",1.06,0.01
"SPO0085",0.88,0.05
"SPO0086",1.05,0
"SPO0087",1,0.02
"SPO0088",1.02,0.04
"SPO0089",1.02,0.02
"SPO0090",0.99,0.02
"SPO0091",1.01,0.01
"SPO0092",0.96,0.04
"SPO0093",1.01,0.04
"SPO0094",0.98,0.01
"SPO0095",0.89,0.02
"SPO0096",0.97,0.03
"SPO0097",1,0.01
"SPO0098",0.96,0.01
"SPO0099",0.96,0.02
"SPO0100",1,0.04
"SPO0101",0.98,0.01
"SPO0102",0.74,0.03
"SPO0103",0.76,0.01
"SPO0104",1.01,0.01
"SPO0105",0.99,0.03
"SPO0106",1.02,0.01
"SPO0107",1.03,0.01
"SPO0108",0.98,0.05
"SPO0109",1,0.01
"SPO0110",1.03,0.01
"SPO0111",1.04,0.01
"SPO0112",1.03,0.01
"SPO0113",1.01,0.01
"SPO0114",1.04,0.01
"SPO0115",1.01,0.01
"SPO0116",1,0.01
"SPO0118",0.94,0.01
"SPO0119",1.04,0.02
"SPO0120",0.98,0.02
"SPO0122",1.02,0.04
"SPO0123",0.95,0.02
"SPO0124",1.05,0.01
"SPO0125",1.03,0.01
"SPO0126",1.03,0.01
"SPO0127",1.08,0.11
"SPO0128",1.02,0.02
"SPO0129",1.01,0.03
"SPO0130",0.9,0.04
"SPO0131",1.07,0.03
"SPO0132",0.93,0
"SPO0133",1.02,0.02
"SPO0134",1.04,0.07
"SPO0135",1.02,0.03
"SPO0136",1.01,0.02
"SPO0137",1.02,0.01
"SPO0138",0.95,0.01
"SPO0139",0.98,0.01
"SPO0140",0.95,0.01
"SPO0141",0.95,0.03
"SPO0142",1.01,0.03
"SPO0143",0.95,0.01
"SPO0146",1.06,0.02
"SPO0147",0.5,0.17
"SPO0151",0.94,0.01
"SPO0152",0.98,0.01
"SPO0153",0.81,0.02
"SPO0154",0.98,0.02
"SPO0156",0.99,0.01
"SPO0157",1.01,0.01
"SPO0160",1.06,0.02
"SPO0161",0.98,0.01
"SPO0162",0.98,0.03
"SPO0163",0.94,0.01
"SPO0164",0.95,0.02
"SPO0165",0.98,0.03
"SPO0166",0.98,0.03
"SPO0167",1,0.04
"SPO0168",0.97,0.02
"SPO0169",1.02,0.04
"SPO0170",1.03,0.01
"SPO0171",0.98,0.05
"SPO0172",0.99,0.03
"SPO0173",0.99,0.11
"SPO0174",0.88,0.06
"SPO0175",0.98,0.04
"SPO0176",0.93,0.07
"SPO0177",0.99,0.02
"SPO0178",0.98,0.05
"SPO0179",0.88,0.06
"SPO0180",0.96,0.06
"SPO0181",0.94,0.05
"SPO0182",0.95,0.03
"SPO0183",0.98,0.03
"SPO0184",1.04,0.02
"SPO0185",0.99,0.01
"SPO0186",1.06,0.01
"SPO0187",0.94,0.03
"SPO0188",0.98,0.02
"SPO0189",0.96,0.02
"SPO0190",0.97,0
"SPO0191",0.98,0.03
"SPO0192",0.98,0.03
"SPO0193",0.96,0.03
"SPO0194",1,0.02
"SPO0195",1.02,0.02
"SPO0196",1.04,0.02
"SPO0197",0.99,0.01
"SPO0198",1,0.02
"SPO0199",1.02,0.02
"SPO0200",1,0.02
"SPO0201",1.02,0.03
"SPO0202",1.03,0.02
"SPO0203",0.97,0.01
"SPO0204",1,0.03
"SPO0205",0.98,0.04
"SPO0206",0.94,0.02
"SPO0207",1.01,0.04
"SPO0209",0.99,0.03
"SPO0210",0.04,0.04
"SPO0211",1.02,0.01
"SPO0212",0.99,0.02
"SPO0213",1.01,0.02
"SPO0214",1.02,0.02
"SPO0215",0.19,0.02
"SPO0216",0.06,0.02
"SPO0217",0.88,0.05
"SPO0218",0.97,0.01
"SPO0219",0.99,0.02
"SPO0220",1.06,0.03
"SPO0221",1.1,0.04
"SPO0222",1.05,0.02
"SPO0223",0.99,0.01
"SPO0224",1.01,0.03
"SPO0225",0.97,0.03
"SPO0226",1.01,0.01
"SPO0227",1.06,0.01
"SPO0228",1.01,0.04
"SPO0230",1.12,0.04
"SPO0231",1.02,0.02
"SPO0232",1,0.01
"SPO0233",0.98,0.09
"SPO0234",1.06,0.01
"SPO0235",1.05,0.01
"SPO0236",1.05,0.01
"SPO0237",1.02,0.02
"SPO0238",1,0.01
"SPO0239",1.01,0.01
"SPO0240",1,0.02
"SPO0241",1,0
"SPO0248",1.06,0.02
"SPO0249",1.18,0.13
"SPO0250",0.99,0.02
"SPO0252",0,0
"SPO0253",1.14,0.01
"SPO0254",1.06,0.01
"SPO0255",0.97,0.04
"SPO0256",0.96,0.03
"SPO0257",0.97,0.04
"SPO0258",1.01,0.01
"SPO0259",0.93,0.06
"SPO0260",1.02,0.02
"SPO0261",0.98,0.02
"SPO0263",0.95,0.02
"SPO0264",1,0.02
"SPO0265",0.96,0.03
"SPO0266",0.95,0.03
"SPO0268",1.05,0.04
"SPO0269",0.97,0.03
"SPO0270",1.08,0.03
"SPO0273",1.85,NA
"SPO0274",0.98,0.02
"SPO0275",1.02,0.05
"SPO0276",0.95,0.04
"SPO0277",0.99,0.03
"SPO0280",1.05,0.1
"SPO0281",1.01,0.06
"SPO0282",1.07,0.06
"SPO0284",0.14,0.08
"SPO0285",0.8,0.05
"SPO0286",0.71,0.06
"SPO0287",0.09,0.09
"SPO0289",0.78,0.02
"SPO0290",0.96,0.03
"SPO0291",0.73,0.02
"SPO0292",1.01,0.02
"SPO0293",1.02,0.01
"SPO0294",0.95,0.05
"SPO0295",1.01,0.01
"SPO0296",1.05,0.02
"SPO0297",0,0
"SPO0298",1,0.01
"SPO0299",1.02,0.02
"SPO0300",1.04,0.01
"SPO0301",1,0.01
"SPO0302",0.96,0.02
"SPO0303",1,0.05
"SPO0304",1.09,0.02
"SPO0305",1.01,0.05
"SPO0306",0.84,0.01
"SPO0307",0.81,0.06
"SPO0308",0.9,0.1
"SPO0309",0.96,0.02
"SPO0310",0.9,0.05
"SPO0311",1.12,0.02
"SPO0312",1.01,0.02
"SPO0313",1.02,0.05
"SPO0314",1.03,0.04
"SPO0315",0.9,0.06
"SPO0317",1,0.02
"SPO0320",1.04,0.1
"SPO0321",1.07,0.06
"SPO0322",1.15,0.02
"SPO0323",1.04,0.01
"SPO0324",1,0.01
"SPO0325",0.64,0.09
"SPO0326",0.99,0.02
"SPO0327",0.98,0.04
"SPO0328",0.91,0.04
"SPO0329",0.95,0.03
"SPO0330",0.96,0.06
"SPO0331",0.81,0.27
"SPO0332",0,0
"SPO0333",1.06,0.03
"SPO0334",0.5,0.04
"SPO0335",0.99,0.01
"SPO0336",0.86,0.07
"SPO0337",1.08,0.02
"SPO0338",1.08,0.03
"SPO0339",1.03,0.03
"SPO0342",0.85,0.03
"SPO0343",1.07,0.18
"SPO0344a",0.49,0.04
"SPO0345",0.36,0.12
"SPO0346a",0.83,0.02
"SPO0347",0,NA
"SPO0348",1,0.01
"SPO0349",0.16,0.06
"SPO0350",0.98,0.06
"SPO0351",1.06,0.03
"SPO0352",0.97,0.03
"SPO0353",0.97,0.05
"SPO0354",0.96,0.04
"SPO0355",0.78,0.09
"SPO0356",1.02,0.02
"SPO0357",0.96,0
"SPO0360a",0.24,0.24
"SPO0362",1.01,0.01
"SPO0363",1.03,0.03
"SPO0364",0.99,0.01
"SPO0365",0.95,0.02
"SPO0366",0.89,0
"SPO0367",0.95,0
"SPO0368",0.95,0.01
"SPO0369",0.98,0.02
"SPO0370",1.04,0.02
"SPO0371",0.98,0.01
"SPO0372",1.02,0.04
"SPO0373",1.03,0.03
"SPO0374",0.89,0.02
"SPO0375",0.91,0.03
"SPO0376",1.02,0.01
"SPO0377",1.04,0.02
"SPO0378",1.04,0.01
"SPO0379",1.02,0.02
"SPO0380",0.96,0.01
"SPO0383",1,0.12
"SPO0384",1.02,0.05
"SPO0385",1.01,0.03
"SPO0386",0.32,0.05
"SPO0387",1.02,0.04
"SPO0388",1.12,0
"SPO0389",0.9,0.03
"SPO0390",1.06,0.02
"SPO0391",1.05,0.03
"SPO0393",1,0.01
"SPO0394",0.98,0.03
"SPO0395",1.02,0.06
"SPO0397",0.89,0.04
"SPO0398",0.95,0.04
"SPO0399",0.92,0.15
"SPO0400",1.05,0.03
"SPO0401",0.65,0.12
"SPO0402",0.94,0.03
"SPO0403",1.01,0.03
"SPO0405",0.94,0.32
"SPO0406",1.07,0.06
"SPO0407",0.98,0.02
"SPO0409",0.82,0.07
"SPO0410",0.66,0.06
"SPO0411",1,0.07
"SPO0412",0.77,0.03
"SPO0413",0.99,0.03
"SPO0414",1.03,0
"SPO0415",1,0.02
"SPO0417",1.15,0.08
"SPO0421",0.93,0.06
"SPO0422",0.38,0.05
"SPO0423",1.01,0.03
"SPO0424",0.96,0.02
"SPO0425",1.03,0.01
"SPO0427",0.98,0.03
"SPO0428",0.97,0.02
"SPO0429",0.96,0.04
"SPO0431",1,0.01
"SPO0432",0.88,0.04
"SPO0433",0.96,0.02
"SPO0434",1,0.05
"SPO0435",1.04,0.01
"SPO0436",0.94,0.02
"SPO0437",0.97,0.02
"SPO0438",1.02,0.01
"SPO0439",0.94,0.06
"SPO0440",0.96,0.03
"SPO0441",0.95,0.08
"SPO0442",1.08,0.01
"SPO0443",1.1,0.04
"SPO0444",0.95,0.05
"SPO0445",0.91,0.04
"SPO0446",0.8,0.02
"SPO0447",0.91,0.03
"SPO0448",1.02,0.02
"SPO0450",1.04,0.04
"SPO0451",1,0.02
"SPO0452",0.95,0.04
"SPO0453",0.91,0.05
"SPO0454",1.06,0.01
"SPO0456",1.05,0.03
"SPO0457",1,0.02
"SPO0458",0.98,0.01
"SPO0460",0.94,0.01
"SPO0461",1.02,0.04
"SPO0462",0.92,0.06
"SPO0463",1,0.04
"SPO0464",0.97,0.03
"SPO0465",1.08,0.05
"SPO0466",1,0.04
"SPO0467",1.01,0.06
"SPO0468",1.04,0.07
"SPO0469",1,0.04
"SPO0470",1,0.03
"SPO0471",0.95,0.03
"SPO0472",0.95,0.03
"SPO0473",0.89,0.06
"SPO0474",1.06,0.12
"SPO0476",1,0.04
"SPO0477",0.96,0.03
"SPO0478",1.02,0.02
"SPO0479",0.98,0.01
"SPO0481",1.06,0.02
"SPO0482",0.89,0.04
"SPO0483",1.03,0.02
"SPO0489",1,0.01
"SPO0490",0.96,0.01
"SPO0491",1.01,0.04
"SPO0491a",0.96,0.02
"SPO0492",1.04,0.02
"SPO0503",0.62,0.02
"SPO0504",1.04,0.01
"SPO0504a",1.02,0.01
"SPO0507",1.08,0.04
"SPO0508",1.02,0.02
"SPO0512",0.6,0.31
"SPO0513",1.01,0.06
"SPO0514",1.02,0.04
"SPO0515",1,0.01
"SPO0516",0.67,0.09
"SPO0517",0.88,0.04
"SPO0520",0.96,0.02
"SPO0521",0.91,0.03
"SPO0522",0.94,0.03
"SPO0523",1.07,0.05
"SPO0524",1,0.07
"SPO0525",0.97,0.04
"SPO0526",0.52,0.52
"SPO0527",0.96,0.03
"SPO0528",0.94,0.01
"SPO0529",1.17,0.08
"SPO0532",0.73,NA
"SPO0533",1.09,0.03
"SPO0534",1.04,0.02
"SPO0535",0.99,0.02
"SPO0536",1.22,0.04
"SPO0539",0.96,0.05
"SPO0540",0.96,0.04
"SPO0541",0.96,0.01
"SPO0543",1.04,0.04
"SPO0544",0.97,0.01
"SPO0545",0.96,0.02
"SPO0546",0.92,0.02
"SPO0547",0.89,0.08
"SPO0548",0.99,0.03
"SPO0549",1.04,0.03
"SPO0550",0.8,0.3
"SPO0551",0.94,0.06
"SPO0552",1.06,0.12
"SPO0553",1.01,0.03
"SPO0554",1.12,0.04
"SPO0555",1,0.04
"SPO0556",1.04,0.01
"SPO0557",1.04,0.01
"SPO0558",0.95,0.02
"SPO0559",1.03,0.03
"SPO0560",1.01,0.01
"SPO0561",0.98,0.03
"SPO0562",0.98,0.09
"SPO0563",0.86,0.05
"SPO0564",0.94,0.02
"SPO0565",0.88,0.04
"SPO0566",0.85,0.07
"SPO0567",0.76,0.29
"SPO0568",1.05,0.01
"SPO0569",0.98,0.08
"SPO0570",0.98,0.06
"SPO0571",0.98,0.07
"SPO0572",0.9,0.08
"SPO0573",0.65,0.08
"SPO0574",1,0.01
"SPO0575",0.97,0.05
"SPO0576",1.1,0.01
"SPO0577",0.85,0.04
"SPO0578",0.9,0.03
"SPO0579",0.87,0.05
"SPO0580",1.06,0.08
"SPO0581",0.92,0.07
"SPO0582",1.01,0.03
"SPO0583",1.06,0.05
"SPO0584",1.05,0.01
"SPO0585",1.04,0.01
"SPO0586",1.01,0.01
"SPO0587",1.06,0.05
"SPO0588",1.02,0.11
"SPO0589",0.93,0.02
"SPO0590",0.59,0.14
"SPO0591",1.01,0.01
"SPO0592",0.94,0.1
"SPO0593",0.89,0.15
"SPO0594",0.81,0.03
"SPO0595",1.01,0.07
"SPO0596",0.95,0.03
"SPO0597",0.9,0.08
"SPO0598",0.9,0.03
"SPO0599",1.1,0.05
"SPO0600",0.98,0.02
"SPO0601",0.97,0.01
"SPO0602",0.95,0.02
"SPO0604",0.72,0.36
"SPO0605",1.04,0.02
"SPO0606",0.94,0.07
"SPO0607",0.95,0.1
"SPO0608",0.94,0.02
"SPO0609",1.02,0.02
"SPO0610",1,0.04
"SPO0611",0.92,0.01
"SPO0612",0.92,0.06
"SPO0613",1.07,0.09
"SPO0614",1.05,0.11
"SPO0615",1.02,0.04
"SPO0616",1.03,0.04
"SPO0618",0.98,0.03
"SPO0619",0.95,0.03
"SPO0620",0.75,0.13
"SPO0621",0.98,0.02
"SPO0622",0.96,0.01
"SPO0623",0.94,0.01
"SPO0624",0.95,0.01
"SPO0628",0.97,0.01
"SPO0628a",1.04,0.02
"SPO0629",1,0.03
"SPO0632",1.03,0.02
"SPO0633",1.04,0.04
"SPO0634",0.91,0.06
"SPO0635",1.04,0.01
"SPO0636",0.91,0.15
"SPO0638",0.97,0.05
"SPO0639",1.03,0.04
"SPO0641",1.04,0
"SPO0642",1.07,0.04
"SPO0643",1.03,0.02
"SPO0644",0.88,0.09
"SPO0645",1.05,0.02
"SPO0647",0.74,0.25
"SPO0648",1.02,0.03
"SPO0649",0.93,0
"SPO0650",0.99,0.02
"SPO0651",1.02,0.02
"SPO0652",1.13,0.21
"SPO0653",0.96,0.04
"SPO0654",1.06,0.06
"SPO0655",0.96,0.03
"SPO0657",1,0.03
"SPO0658",0.91,0.02
"SPO0659",0.98,0.05
"SPO0660",0.99,0.03
"SPO0661",0.96,0.05
"SPO0662",0.98,0.07
"SPO0663",0.93,0.05
"SPO0664",1.02,0.06
"SPO0665",0.98,0.12
"SPO0666",0.8,0.15
"SPO0668",0,NA
"SPO0670",1,0.05
"SPO0671",1,0.04
"SPO0672",1.01,0.02
"SPO0673",0.98,0.03
"SPO0674",0.9,0.04
"SPO0675",0.74,0.04
"SPO0676",0.62,0.31
"SPO0677",1.04,0.01
"SPO0678",0.95,0.04
"SPO0679",1.04,0.09
"SPO0680",1.02,0.01
"SPO0681",1.19,0.19
"SPO0682",1.04,0.03
"SPO0683",1.02,0.05
"SPO0684",1.11,0.08
"SPO0685",1.04,0.02
"SPO0686",1.02,0.02
"SPO0687",1.02,0.04
"SPO0688",1.04,0.01
"SPO0689",0.52,0.33
"SPO0690",0.89,0.03
"SPO0691",0.56,0.19
"SPO0692",1.03,0.03
"SPO0693",0.98,0.03
"SPO0694",0.93,0.02
"SPO0695",1.17,0.03
"SPO0697",1.01,0.06
"SPO0698",0.96,0.11
"SPO0699",0.89,0.02
"SPO0700",1.1,0.05
"SPO0701",1,0.04
"SPO0702",0.99,0.04
"SPO0703",0.97,0.03
"SPO0704",0.94,0.04
"SPO0705",1.01,0.02
"SPO0706",1.02,0.01
"SPO0707",0.88,0.04
"SPO0708",0.9,0.03
"SPO0710",1.05,0.04
"SPO0711",0.88,0.01
"SPO0712",0.89,0.09
"SPO0713",1.05,0.04
"SPO0714",0.42,0.42
"SPO0715",0.34,0.14
"SPO0716",1.01,0.02
"SPO0717",1.05,0.02
"SPO0718",0.92,0.13
"SPO0721",0.8,0.29
"SPO0722",0.74,0.32
"SPO0723",1.11,0.05
"SPO0724",0.96,0.01
"SPO0725",0.9,0.09
"SPO0727",0.74,0.25
"SPO0728",0.98,0.01
"SPO0729",0,NA
"SPO0732",0,NA
"SPO0733",1.05,0.03
"SPO0734",0.95,0.08
"SPO0735",1.06,0.02
"SPO0736",0.95,0
"SPO0737",1.01,0.11
"SPO0738",1.01,0.03
"SPO0739",1.03,0.04
"SPO0740",1,0.02
"SPO0741",0.97,0.03
"SPO0742",1,0.02
"SPO0743",0.8,0.05
"SPO0744",0.97,0.02
"SPO0745",0.95,0.01
"SPO0746",0.97,0.02
"SPO0747",0.98,0.04
"SPO0748",0.95,0.1
"SPO0749",0.96,0.02
"SPO0750",1.02,0.04
"SPO0751",1.01,0.03
"SPO0752",1.05,0.02
"SPO0753",1,0.01
"SPO0754",1.06,0.02
"SPO0755",1.05,0.02
"SPO0756",1.07,0.05
"SPO0757",1.07,0.01
"SPO0758",1.1,0.01
"SPO0759",0.97,0.06
"SPO0760",0.81,0.01
"SPO0761",0.94,0.04
"SPO0762",1.11,0.13
"SPO0763",1.05,0.04
"SPO0764",0.9,0.04
"SPO0765",0.95,0.05
"SPO0766",0.88,0.13
"SPO0767",0.79,0.23
"SPO0768",0.88,0.13
"SPO0769",1.01,0.04
"SPO0770",0.96,0.06
"SPO0771",0.96,0.05
"SPO0772",1.03,0.06
"SPO0773",1.1,0.08
"SPO0774",0.96,0.03
"SPO0775",1.01,0.05
"SPO0776",1.02,0.11
"SPO0777",0.6,0.24
"SPO0778",0.84,0.06
"SPO0779",0,0
"SPO0780",0.96,0.05
"SPO0781",1.32,NA
"SPO0782",0.88,0.03
"SPO0783",0.8,0.05
"SPO0784",1,0.11
"SPO0785",0.7,0.26
"SPO0786",1.01,0.05
"SPO0787",0.87,0.09
"SPO0788",0.84,0.03
"SPO0789",1.11,0.1
"SPO0790",1.06,0.13
"SPO0791",1.07,0.03
"SPO0792",1.02,0.06
"SPO0793",0.93,0.03
"SPO0794",0.86,0.03
"SPO0795",1.03,0.1
"SPO0796",0.94,0.08
"SPO0797",0.98,0.04
"SPO0798",0.94,0.05
"SPO0799",0.7,0.31
"SPO0800",0.78,0.05
"SPO0801",0.98,0.03
"SPO0803",0.86,0.04
"SPO0806",0,0
"SPO0807",0.87,0.11
"SPO0808",0.29,0.18
"SPO0809",1.02,0.06
"SPO0810",1.03,0.02
"SPO0811",1.15,0.22
"SPO0812",0,NA
"SPO0813",0.91,0.04
"SPO0814",0.98,0.05
"SPO0816",0.94,0.08
"SPO0817",0.66,0.22
"SPO0818",0.91,0.02
"SPO0819",0.9,0.09
"SPO0820",1.02,0.03
"SPO0821",1,0.02
"SPO0822",0.99,0.04
"SPO0823",0.98,0.09
"SPO0824",0.99,0.05
"SPO0825",0.93,0.04
"SPO0826",0.96,0.04
"SPO0827",0.97,0.05
"SPO0828",0.93,0.07
"SPO0829",0.96,0.03
"SPO0830",0.98,0.06
"SPO0831",0.96,0.09
"SPO0832",1,0.01
"SPO0833",1.08,0.02
"SPO0834",1,0.02
"SPO0835",1.09,0.02
"SPO0836",1.08,0
"SPO0837",0.85,0.02
"SPO0839",1,0.08
"SPO0840",0.96,0.02
"SPO0841",1.01,0.03
"SPO0842",1.01,0.05
"SPO0844",1,0.04
"SPO0845",0.96,0.03
"SPO0847",0.94,0.03
"SPO0848",1,0.03
"SPO0849",0.95,0.01
"SPO0850",1.05,0.12
"SPO0851",0.57,0.29
"SPO0852",0.92,0.09
"SPO0853",1.06,0.05
"SPO0854",0.84,0.15
"SPO0855",1.03,0.08
"SPO0856",1.02,0.03
"SPO0857",0.98,0.06
"SPO0858",1.06,0.04
"SPO0859",1.15,0.09
